author,reading_time,claps,avg. articles,publication_url,most_published_single_publication,earned
Tim Denning,5.94,2953.35,8.5,https://medium.com/swlh,24,295.34
Jano le Roux,5.25,2692.5,1.0,https://medium.com/swlh,4,269.25
Arthur Hayes,20.78,2422.22,2.25,https://entrepreneurshandbook.co/,9,242.22
Simon Holdorf,11.0,1212.25,1.0,https://levelup.gitconnected.com/,4,121.22
The PyCoach,5.56,1093.94,4.0,https://medium.com/geekculture,11,109.39
Joseph Mavericks,9.5,732.0,1.0,https://entrepreneurshandbook.co/,4,73.2
Avi Chawla,6.4,712.2,1.25,https://towardsdatascience.com/,5,71.22
Al Anany,6.33,494.0,1.5,https://entrepreneurshandbook.co/,6,49.4
Liu Zuo Lin,4.57,292.29,1.75,https://python.plainenglish.io/,7,29.23
Farhan Tanvir,4.86,267.57,1.75,https://medium.com/geekculture,4,26.76
Haider Imtiaz,7.36,176.73,2.75,https://python.plainenglish.io/,11,17.67
